Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,True Node
01.01.1948,279.47832978,157.43787324,277.98000838,308.92139808,157.25425522,255.13770151,141.98656465,83.50478132,192.93635326,134.50874723,52.30689692
02.01.1948,280.49749229,171.74930460,279.58194115,310.15877011,157.34071420,255.35220466,141.93726018,83.46424997,192.94406925,134.49013311,52.24425795
03.01.1948,281.51674743,185.64396251,281.18957387,311.39570268,157.41551017,255.56601901,141.88643170,83.42400919,192.95120984,134.47122333,52.21558245
04.01.1948,282.53609490,199.12960481,282.80313670,312.63219539,157.47844773,255.77912753,141.83411192,83.38408577,192.95778131,134.45203329,52.21573418
05.01.1948,283.55552788,212.24422977,284.42283591,313.86824243,157.52933777,255.99151032,141.78033307,83.34450464,192.96378818,134.43257668,52.23274547
06.01.1948,284.57503331,225.04209869,286.04885338,315.10383229,157.56799822,256.20314417,141.72512617,83.30528795,192.96923241,134.41286462,52.25044774
07.01.1948,285.59459268,237.58218820,287.68134026,316.33894799,157.59425456,256.41400269,141.66852092,83.26645511,192.97411350,134.39290575,52.25170441
08.01.1948,286.61418315,249.92013088,289.32040850,317.57356784,157.60794152,256.62405683,141.61054613,83.22802304,192.97842887,134.37270659,52.22157624
09.01.1948,287.63377855,262.10361549,290.96612333,318.80766618,157.60890440,256.83327556,141.55123010,83.19000669,192.98217439,134.35227201,52.14990409
10.01.1948,288.65335061,274.17079649,292.61849517,320.04121435,157.59700068,257.04162664,141.49060129,83.15241965,192.98534510,134.33160593,52.03299175
11.01.1948,289.67287022,286.15115259,294.27747007,321.27418174,157.57210162,257.24907758,141.42868908,83.11527495,192.98793606,134.31071213,51.87423448
12.01.1948,290.69230857,298.06819706,295.94291822,322.50653680,157.53409391,257.45559647,141.36552446,83.07858584,192.98994311,134.28959504,51.68365410
13.01.1948,291.71163809,309.94337089,297.61461987,323.73824773,157.48288093,257.66115261,141.30114047,83.04236625,192.99136341,134.26826023,51.47640397
14.01.1948,292.73083307,321.80040095,299.29224868,324.96928310,157.41838384,257.86571685,141.23557249,83.00663108,192.99219575,134.24671470,51.27042974
15.01.1948,293.74987013,333.66940597,300.97535186,326.19961215,157.34054258,258.06926190,141.16885828,82.97139641,192.99244078,134.22496712,51.08360512
16.01.1948,294.76872865,345.59012828,302.66332705,327.42920514,157.24931676,258.27176249,141.10103813,82.93667961,192.99210112,134.20302791,50.93076975
17.01.1948,295.78739087,357.61382607,304.35539495,328.65803342,157.14468641,258.47319534,141.03215469,82.90249927,192.99118132,134.18090921,50.82114191
18.01.1948,296.80584182,9.80347278,306.05056742,329.88606923,157.02665247,258.67353888,140.96225254,82.86887485,192.98968750,134.15862451,50.75654709
19.01.1948,297.82406908,22.23192766,307.74761050,331.11328531,156.89523704,258.87277279,140.89137769,82.83582618,192.98762688,134.13618815,50.73080629
20.01.1948,298.84206268,34.97762056,309.44500202,332.33965469,156.75048337,259.07087760,140.81957689,82.80337294,192.98500729,134.11361481,50.73048382
21.01.1948,299.85981508,48.11712060,311.14088332,333.56515036,156.59245552,259.26783410,140.74689697,82.77153399,192.98183645,134.09091887,50.73701382
22.01.1948,300.87732065,61.71397641,312.83300420,334.78974465,156.42123684,259.46362221,140.67338341,82.74032617,192.97812086,134.06811316,50.73000920
23.01.1948,301.89457481,75.80384779,314.51866115,336.01340828,156.23692754,259.65821924,140.59907848,82.70976254,192.97386392,134.04520719,50.69131263
24.01.1948,302.91157324,90.37769290,316.19462948,337.23610978,156.03964197,259.85159833,140.52401948,82.67985083,192.96906439,134.02220557,50.60908760
25.01.1948,303.92831211,105.36768102,317.85709137,338.45781643,155.82950748,260.04372819,140.44823853,82.65059345,192.96371625,133.99910793,50.48099168
26.01.1948,304.94479004,120.64319302,319.50156166,339.67849726,155.60666656,260.23457505,140.37176490,82.62198997,192.95781095,133.97591125,50.31536598
27.01.1948,305.96101062,136.02363045,321.12281275,340.89812713,155.37128227,260.42410639,140.29462923,82.59404134,192.95134149,133.95261401,50.12971013
28.01.1948,306.97698402,151.30836264,322.71480017,342.11668973,155.12354550,260.61229424,140.21686764,82.56675396,192.94430627,133.92922013,49.94647417
29.01.1948,307.99272580,166.31451089,324.27059151,343.33417748,154.86368138,260.79911640,140.13852367,82.54014131,192.93671067,133.90574057,49.78743692
30.01.1948,309.00825318,180.90812567,325.78230524,344.55058806,154.59195312,260.98455471,140.05964702,82.51422245,192.92856552,133.88219186,49.66808954
31.01.1948,310.02358020,195.01850946,327.24106898,345.76591924,154.30866295,261.16859153,139.98029026,82.48901842,192.91988367,133.85859257,49.59415766

February,,,,,,,,,,,
01.02.1948,311.03871401,208.63507591,328.63700935,346.98016432,154.01415177,261.35120655,139.90050544,82.46454870,192.91067660,133.83495990,49.56066945
02.02.1948,312.05365348,221.79323827,329.95928595,348.19330983,153.70879856,261.53237517,139.82034221,82.44082922,192.90095260,133.81130777,49.55360007
03.02.1948,313.06838993,234.55702347,331.19618100,349.40533540,153.39302053,261.71206869,139.73984762,82.41787220,192.89071668,133.78764671,49.55327296
04.02.1948,314.08290885,247.00351626,332.33525486,350.61621488,153.06727314,261.89025538,139.65906684,82.39568690,192.87997153,133.76398471,49.53847344
05.02.1948,315.09719158,259.21116249,333.36357652,351.82591757,152.73204999,262.06690158,139.57804395,82.37428053,192.86871837,133.74032809,49.49042092
06.02.1948,316.11121658,271.25203792,334.26803557,353.03440917,152.38788197,262.24197251,139.49682258,82.35365893,192.85695773,133.71668225,49.39598772
07.02.1948,317.12496048,283.18746664,335.03573958,354.24165265,152.03533631,262.41543301,139.41544638,82.33382714,192.84469003,133.69305222,49.24978189
08.02.1948,318.13839909,295.06632708,335.65449530,355.44760905,151.67501531,262.58724825,139.33395962,82.31479008,192.83191627,133.66944338,49.05490881
09.02.1948,319.15150823,306.92555108,336.11336720,356.65223814,151.30755482,262.75738447,139.25240771,82.29655310,192.81863864,133.64586197,48.82238806
10.02.1948,320.16426440,318.79243664,336.40329827,357.85549889,150.93362209,262.92580935,139.17083747,82.27912241,192.80486091,133.62231555,48.56934809
11.02.1948,321.17664527,330.68836157,336.51777171,359.05734976,150.55391317,263.09249238,139.08929727,82.26250522,192.79058859,133.59881312,48.31627042
12.02.1948,322.18863009,342.63335706,336.45347924,0.25774890,150.16914979,263.25740496,139.00783702,82.24670983,192.77582909,133.57536527,48.08369623
13.02.1948,323.20020004,354.65084926,336.21095080,1.45665425,149.78007592,263.42052059,138.92650810,82.23174573,192.76059175,133.55198419,47.88890330
14.02.1948,324.21133840,6.77181032,335.79508592,2.65402360,149.38745378,263.58181469,138.84536314,82.21762334,192.74488761,133.52868347,47.74307234
15.02.1948,325.22203038,19.03759368,335.21551598,3.84981411,148.99205931,263.74126422,138.76445534,82.20435353,192.72872896,133.50547759,47.64938772
16.02.1948,326.23226274,31.50081986,334.48672276,5.04398182,148.59467727,263.89884690,138.68383764,82.19194688,192.71212852,133.48238116,47.60238785
17.02.1948,327.24202350,44.22373848,333.62784782,6.23648107,148.19609604,264.05454058,138.60356190,82.18041291,192.69509870,133.45940815,47.58872858
18.02.1948,328.25130164,57.27347584,332.66215329,7.42726402,147.79710234,264.20832252,138.52367796,82.16975931,192.67765083,133.43657111,47.58935547
19.02.1948,329.26008689,70.71357331,331.61613750,8.61628022,147.39847544,264.36016842,138.44423260,82.15999105,192.65979416,133.41388020,47.58288043
20.02.1948,330.26836932,84.59151487,330.51836279,9.80347609,147.00098118,264.51005136,138.36526824,82.15110917,192.64153470,133.39134201,47.54971985
21.02.1948,331.27613951,98.92299697,329.39810469,10.98879511,146.60536651,264.65794089,138.28682208,82.14311013,192.62287440,133.36895883,47.47629487
22.02.1948,332.28338991,113.67588459,328.28396703,12.17217976,146.21235598,264.80380353,138.20892666,82.13598650,192.60381173,133.34672922,47.35834697
23.02.1948,333.29011778,128.75964890,327.20261357,13.35357524,145.82265146,264.94760509,138.13161247,82.12972965,192.58434427,133.32465069,47.20228465
24.02.1948,334.29632847,144.02753092,326.17774271,14.53293427,145.43693487,265.08931397,138.05491187,82.12433374,192.56447238,133.30272345,47.02399759
25.02.1948,335.30203707,159.29570503,325.22938440,15.71022037,145.05587223,265.22890382,137.97886247,82.11979891,192.54420238,133.28095366,46.84487841
26.02.1948,336.30726676,174.37583931,324.37354298,16.88540766,144.68011664,265.36635379,137.90350814,82.11613208,192.52354720,133.25935409,46.68647998
27.02.1948,337.31204398,189.10954170,323.62216094,18.05847696,144.31030865,265.50164600,137.82889702,82.11334470,192.50252410,133.23794194,46.56512137
28.02.1948,338.31639242,203.39207446,322.98334352,19.22940981,143.94707389,265.63476173,137.75507789,82.11144878,192.48115096,133.21673495,46.48819365
29.02.1948,339.32032840,217.17940500,322.46176750,20.39818315,143.59101958,265.76567825,137.68209685,82.11045347,192.45944290,133.19574809,46.45305140

March,,,,,,,,,,,
01.03.1948,340.32385914,230.48111292,322.05919563,21.56476659,143.24273125,265.89436777,137.60999580,82.11036348,192.43741092,133.17499205,46.44830706
02.03.1948,341.32698362,243.34595162,321.77502773,22.72912214,142.90277050,266.02079819,137.53881286,82.11117945,192.41506244,133.15447372,46.45682767
03.03.1948,342.32969472,255.84628472,321.60683608,23.89120548,142.57167334,266.14493492,137.46858359,82.11289938,192.39240273,133.13419762,46.45949136
