Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,True Node
01.01.2028,280.07705731,325.64189469,291.61109460,315.00648847,297.91114754,177.30711490,21.07850037,66.69407878,3.93224111,305.96512885,302.40892639
02.01.2028,281.09648682,337.42390281,293.22004883,316.23004978,298.69375275,177.34147321,21.09407250,66.66121137,3.94211572,305.99418497,302.43836267
03.01.2028,282.11587256,349.25392157,294.82603926,317.45280982,299.47681667,177.37270048,21.11148577,66.62890854,3.95255369,306.02342306,302.46670831
04.01.2028,283.13520109,1.20821763,296.42740291,318.67473753,300.26032556,177.40078904,21.13073822,66.59718854,3.96355627,306.05283959,302.48722675
05.01.2028,284.15446106,13.36740726,298.02213607,319.89580224,301.04426685,177.42573320,21.15182777,66.56606980,3.97512515,306.08243168,302.49527145
06.01.2028,285.17364367,25.81165143,299.60783955,321.11597332,301.82862904,177.44752872,21.17475176,66.53557053,3.98726207,306.11219674,302.48898072
07.01.2028,286.19274219,38.61406332,301.18165622,322.33522009,302.61340119,177.46617237,21.19950656,66.50570819,3.99996830,306.14213194,302.46947181
08.01.2028,287.21175187,51.83219223,302.74020120,323.55351136,303.39857242,177.48166102,21.22608677,66.47649871,4.01324392,306.17223343,302.44046786
09.01.2028,288.23066921,65.49806000,304.27948422,324.77081477,304.18413103,177.49399020,21.25448409,66.44795517,4.02708649,306.20249515,302.40740006
10.01.2028,289.24949120,79.60828307,305.79482539,325.98709627,304.97006337,177.50315244,21.28468601,66.42008638,4.04148976,306.23290734,302.37616472
11.01.2028,290.26821500,94.11703397,307.28076673,327.20232035,305.75635360,177.50913630,21.31667536,66.39289636,4.05644303,306.26345602,302.35180690
12.01.2028,291.28683883,108.93521947,308.73098277,328.41645197,306.54298482,177.51192722,21.35043175,66.36638549,4.07193240,306.29412410,302.33742634
13.01.2028,292.30536396,123.93833415,310.13819439,329.62945985,307.32994192,177.51151031,21.38593482,66.34055378,4.08794385,306.32489442,302.33361074
14.01.2028,293.32379653,138.98267200,311.49409082,330.84131969,308.11721458,177.50787412,21.42316822,66.31540476,4.10446712,306.35575353,302.33856303
15.01.2028,294.34214777,153.92609622,312.78926666,332.05201548,308.90479894,177.50101343,21.46212220,66.29094819,4.12149822,306.38669418,302.34883094
16.01.2028,295.36043178,168.64748568,314.01318455,333.26153770,309.69269643,177.49092970,21.50279348,66.26720009,4.13903936,306.41771519,302.36044648
17.01.2028,296.37866146,183.05971233,315.15417900,334.46987897,310.48091042,177.47762907,21.54518249,66.24418020,4.15709633,306.44881886,302.37001178
18.01.2028,297.39684437,197.11396798,316.19952132,335.67702916,311.26944217,177.46111944,21.58928952,66.22190834,4.17567484,306.48000736,302.37557147
19.01.2028,298.41498019,210.79650894,317.13556838,336.88297184,312.05828793,177.44140807,21.63511179,66.20040157,4.19477772,306.51127996,302.37682300
20.01.2028,299.43306025,224.12077554,317.94801859,338.08768290,312.84743805,177.41850089,21.68264215,66.17967297,4.21440374,306.54263193,302.37487800
21.01.2028,300.45106881,237.11803696,318.62229679,339.29113095,313.63687756,177.39240298,21.73186938,66.15973197,4.23454801,306.57405492,302.37163779
22.01.2028,301.46898478,249.82885794,319.14408553,340.49327853,314.42658749,177.36311966,21.78277907,66.14058522,4.25520289,306.60553792,302.36900736
23.01.2028,302.48678343,262.29658627,319.50001297,341.69408328,315.21654609,177.33065747,21.83535457,66.12223749,4.27635899,306.63706821,302.36823138
24.01.2028,303.50443780,274.56321273,319.67849405,342.89349909,316.00672995,177.29502505,21.88957786,66.10469251,4.29800600,306.66863222,302.36951520
25.01.2028,304.52192006,286.66744114,319.67070125,344.09147713,316.79711509,177.25623401,21.94543040,66.08795376,4.32013357,306.70021642,302.37197732
26.01.2028,305.53920281,298.64457375,319.47161415,345.28796691,317.58767797,177.21429966,22.00289395,66.07202528,4.34273213,306.73180844,302.37390561
27.01.2028,306.55625996,310.52772182,319.08106057,346.48291699,318.37839624,177.16924157,22.06195120,66.05691219,4.36579343,306.76339804,302.37323546
28.01.2028,307.57306738,322.34983812,318.50463120,347.67627542,319.16924912,177.12108369,22.12258593,66.04262088,4.38931078,306.79497751,302.36813177
29.01.2028,308.58960310,334.14608968,317.75431919,348.86798983,319.96021745,177.06985419,22.18478299,66.02915887,4.41327895,306.82654105,302.35754688
30.01.2028,309.60584741,345.95612684,316.84873176,350.05800742,320.75128370,177.01558522,22.24852817,66.01653468,4.43769402,306.85808369,302.34163792
31.01.2028,310.62178287,357.82586799,315.81274690,351.24627490,321.54243182,176.95831254,22.31380799,66.00475749,4.46255311,306.88960101,302.32194665

February,,,,,,,,,,,
01.02.2028,311.63739407,9.80846215,314.67655598,352.43273817,322.33364695,176.89807510,22.38060931,65.99383682,4.48785401,306.92108913,302.30126989
02.02.2028,312.65266730,21.96412199,313.47413475,353.61734188,323.12491494,176.83491432,22.44891882,65.98378191,4.51359459,306.95254449,302.28319425
03.02.2028,313.66759014,34.35849396,312.24129897,354.80002891,323.91622189,176.76887348,22.51872251,65.97460111,4.53977228,306.98396340,302.27134105
04.02.2028,314.68215129,47.05918880,311.01359136,355.98073998,324.70755372,176.69999699,22.59000510,65.96630137,4.56638346,307.01534144,302.26845129
05.02.2028,315.69634036,60.13006825,309.82428261,357.15941327,325.49889576,176.62832965,22.66274946,65.95888753,4.59342283,307.04667281,302.27550775
06.02.2028,316.71014762,73.62301540,308.70273787,358.33598402,326.29023210,176.55391548,22.73693577,65.95236142,4.62088255,307.07794937,302.29112472
07.02.2028,317.72356381,87.56739115,307.67331276,359.51038440,327.08154501,176.47679646,22.81254066,65.94672089,4.64875123,307.10915966,302.31143070
08.02.2028,318.73658075,101.95837883,306.75483092,0.68254441,327.87281512,176.39701202,22.88953714,65.94195969,4.67701385,307.14028870,302.33060182
09.02.2028,319.74919333,116.74690473,305.96059267,1.85239478,328.66402325,176.31460012,22.96789636,65.93806901,4.70565326,307.17131950,302.34203898
10.02.2028,320.76140262,131.83524019,305.29879456,3.01987143,329.45515371,176.22960028,23.04759100,65.93504092,4.73465351,307.20223630,302.33997506
11.02.2028,321.77321840,147.08246752,304.77321212,4.18491974,330.24619761,176.14205713,23.12859916,65.93287213,4.76400355,307.23302817,302.32113082
12.02.2028,322.78465910,162.32152567,304.38400527,5.34749616,331.03715413,176.05202268,23.21090637,65.93156615,4.79369924,307.26369098,302.28594775
13.02.2028,323.79574830,177.38470575,304.12853545,6.50756582,331.82802831,175.95955591,23.29450457,65.93113247,4.82374235,307.29422636,302.23879182
14.02.2028,324.80650887,192.12997778,304.00212119,7.66509680,332.61882666,175.86472002,23.37938845,65.93158307,4.85413705,307.32463823,302.18717695
15.02.2028,325.81695734,206.45979644,303.99869230,8.82005378,333.40955221,175.76757896,23.46555102,65.93292829,4.88488572,307.35492865,302.14001544
16.02.2028,326.82710072,220.32784572,304.11132857,9.97239361,334.20020153,175.66819533,23.55298086,65.93517409,4.91598630,307.38509523,302.10545250
17.02.2028,327.83693643,233.73463966,304.33268424,11.12206386,334.99076443,175.56663026,23.64166154,65.93832168,4.94743192,307.41513084,302.08888193
18.02.2028,328.84645441,246.71640014,304.65530857,12.26900367,335.78122551,175.46294479,23.73157288,65.94236870,4.97921222,307.44502497,302.09170298
19.02.2028,329.85563960,259.33201808,305.07187692,13.41314542,336.57156617,175.35720144,23.82269261,65.94731083,5.01131498,307.47476543,302.11098194
20.02.2028,330.86447393,271.65134887,305.57534864,14.55441606,337.36176615,175.24946528,23.91499756,65.95314300,5.04372743,307.50433959,302.14000146
21.02.2028,331.87293773,283.74625713,306.15906794,15.69273801,338.15180450,175.13980449,24.00846442,65.95986007,5.07643689,307.53373516,302.16950925
22.02.2028,332.88101062,295.68458146,306.81682190,16.82802983,338.94166035,175.02829070,24.10307031,65.96745731,5.10943139,307.56294069,302.18936024
23.02.2028,333.88867243,307.52663746,307.54286764,17.96020679,339.73131353,174.91499940,24.19879328,65.97593098,5.14270014,307.59194612,302.19024277
24.02.2028,334.89590374,319.32376943,308.33193735,19.08918116,340.52074504,174.80001008,24.29561271,65.98527855,5.17623390,307.62074314,302.16524278
25.02.2028,335.90268623,331.11853235,309.17922835,20.21486218,341.30993723,174.68340608,24.39350929,65.99549882,5.21002500,307.64932516,302.11106198
26.02.2028,336.90900269,342.94617062,310.08038332,21.33715577,342.09887367,174.56527427,24.49246490,66.00659160,5.24406713,307.67768720,302.02874275
27.02.2028,337.91483701,354.83707170,311.03146464,22.45596422,342.88753904,174.44570454,24.59246232,66.01855752,5.27835509,307.70582553,301.92378002
28.02.2028,338.92017425,6.81982744,312.02892581,23.57118587,343.67591894,174.32478930,24.69348499,66.03139767,5.31288449,307.73373747,301.80554160
29.02.2028,339.92500041,18.92443860,313.06958151,24.68271458,344.46399959,174.20262283,24.79551655,66.04511315,5.34765131,307.76142087,301.68598782

March,,,,,,,,,,,
01.03.2028,340.92930214,31.18512173,314.15057760,25.79043913,345.25176732,174.07930036,24.89854022,66.05970441,5.38265122,307.78887346,301.57778769
02.03.2028,341.93306629,43.64212496,315.26936214,26.89424246,346.03920797,173.95491707,25.00253812,66.07517050,5.41787887,307.81609213,301.49206554
03.03.2028,342.93627971,56.34195373,316.42365800,27.99400116,346.82630642,173.82956727,25.10749066,66.09150846,5.45332729,307.84307231,301.43615318
04.03.2028,343.93892922,69.33540864,317.61143762,29.08958510,347.61304640,173.70334361,25.21337618,66.10871287,5.48898740,307.86980751,301.41181507
05.03.2028,344.94100177,82.67287949,318.83089968,30.18085735,348.39941024,173.57633634,25.32017052,66.12677541,5.52484762,307.89628885,301.41440511
06.03.2028,345.94248488,96.39649498,320.08044808,31.26767451,349.18537892,173.44863268,25.42784685,66.14568461,5.56089360,307.92250481,301.43328395
07.03.2028,346.94336794,110.52920376,321.35867345,32.34988812,349.97093295,173.32031686,25.53637625,66.16542630,5.59710866,307.94844165,301.45359658
08.03.2028,347.94364476,125.06194493,322.66433763,33.42734791,350.75605440,173.19147154,25.64572959,66.18598553,5.63347565,307.97408520,301.45922113
09.03.2028,348.94331706,139.94185071,323.99636075,34.49990645,351.54073020,173.06218056,25.75588070,66.20734957,5.66997993,307.99942377,301.43637399
10.03.2028,349.94239720,155.06635235,325.35380912,35.56742366,352.32495497,172.93253173,25.86680939,66.22951100,5.70661229,308.02445103,301.37703632
11.03.2028,350.94090813,170.28850493,326.73588228,36.62976876,353.10873167,172.80261820,25.97850256,66.25246889,5.74337008,308.04916711,301.28120959
12.03.2028,351.93887967,185.43589476,328.14189805,37.68681817,353.89206900,172.67253719,26.09095245,66.27622719,5.78025542,308.07357670,301.15730671
13.03.2028,352.93634219,200.33927793,329.57127694,38.73844988,354.67497654,172.54238680,26.20415254,66.30079089,5.81727131,308.09768528,301.02018740
14.03.2028,353.93332041,214.86143479,331.02352809,39.78453683,355.45745973,172.41226272,26.31809341,66.32616202,5.85441764,308.12149510,300.88756770
15.03.2028,354.92982975,228.91634946,332.49823875,40.82494180,356.23951710,172.28225655,26.43276039,66.35233750,5.89168900,308.14500313,300.77576936
16.03.2028,355.92587615,242.47422100,333.99506788,41.85951534,357.02114021,172.15245623,26.54813373,66.37930937,5.92907507,308.16820146,300.69597270
17.03.2028,356.92145821,255.55449487,335.51374228,42.88809590,357.80231542,172.02294797,26.66419045,66.40706662,5.96656252,308.19107927,300.65196434
18.03.2028,357.91656986,268.21259818,337.05405358,43.91051103,358.58302591,171.89381802,26.78090641,66.43559727,6.00413712,308.21362501,300.63967462
19.03.2028,358.91120245,280.52568046,338.61585477,44.92657825,359.36325294,171.76515374,26.89825765,66.46488962,6.04178511,308.23582772,300.64831205
20.03.2028,359.90534602,292.58043117,340.19905613,45.93610520,0.14297738,171.63704386,27.01622101,66.49493281,6.07949380,308.25767764,300.66262980
21.03.2028,0.89899001,304.46394355,341.80362076,46.93889008,0.92218356,171.50957844,27.13477436,66.52571707,6.11725184,308.27916647,300.66576212
22.03.2028,1.89212378,316.25740604,343.42956019,47.93472124,1.70086324,171.38284884,27.25389689,66.55723388,6.15504946,308.30028755,300.64212078
23.03.2028,2.88473698,328.03202633,345.07692962,48.92337704,2.47901125,171.25694763,27.37356917,66.58947610,6.19287861,308.32103602,300.57996065
24.03.2028,3.87681960,339.84668280,346.74582294,49.90462518,3.25661751,171.13196831,27.49377314,66.62243788,6.23073248,308.34140867,300.47332677
25.03.2028,4.86836178,351.74703962,348.43636712,50.87822175,4.03366771,171.00800484,27.61449176,66.65611432,6.26860198,308.36140371,300.32316198
26.03.2028,5.85935363,3.76607646,350.14871627,51.84391017,4.81014756,170.88515111,27.73570874,66.69050117,6.30645936,308.38102040,300.13740960
27.03.2028,6.84978511,15.92604357,351.88304491,52.80142005,5.58604423,170.76350029,27.85740813,66.72559443,6.34428811,308.40025872,299.93002420
28.03.2028,7.83964573,28.24173556,353.63954033,53.75046595,6.36134573,170.64314411,27.97957381,66.76138973,6.38215994,308.41911874,299.71892698
29.03.2028,8.82892418,40.72470218,355.41839371,54.69074599,7.13603996,170.52417176,28.10218878,66.79788163,6.42005235,308.43759993,299.52311315
30.03.2028,9.81760798,53.38768496,357.21978973,55.62194054,7.91011371,170.40666884,28.22523431,66.83506276,6.45793750,308.45570030,299.35931586
31.03.2028,10.80568338,66.24831666,359.04389488,56.54371130,8.68355221,170.29071650,28.34868946,66.87292322,6.49580348,308.47341578,299.23880377

April,,,,,,,,,,,
01.04.2028,11.79313572,79.33103501,0.89084405,57.45570088,9.45633907,170.17639093,28.47253091,66.91145041,6.53363907,308.49074007,299.16496645
02.04.2028,12.77995027,92.66626346,2.76072523,58.35753301,10.22845671,170.06376332,28.59673320,66.95062919,6.57143103,308.50766470,299.13226651
03.04.2028,13.76611345,106.28617194,4.65356189,59.24881338,10.99988716,169.95290013,28.72126935,66.99044249,6.60916433,308.52417964,299.12691480
04.04.2028,14.75161478,120.21677270,6.56929277,60.12913151,11.77061355,169.84386403,28.84611212,67.03087246,6.64682329,308.54027437,299.12931336
